Date,sp500,dtb3,aig,ibm,ford,xom
1999-12-31,1469.25,5.17,1098.6703,75.415802,17.221939,23.802477
2000-01-03,1455.22,5.27,1056.1207,81.096031,16.919096,23.137709
2000-01-04,1399.42,5.27,1002.1395,78.3433,16.353779,22.694527
2000-01-05,1402.11,5.28,1004.5205,81.096031,16.414349,23.931728
2000-01-06,1403.45,5.25,1035.1636,79.697784,16.434534,25.168955
2000-01-07,1441.47,5.22,1112.6415,79.348267,17.645926,25.095076
2000-01-10,1457.6,5.24,1092.9551,82.494217,17.322889,24.744236
2000-01-11,1438.5601,5.27,1075.1727,83.193336,16.858521,24.818094
2000-01-12,1432.25,5.29,1107.5614,83.542885,17.343073,24.67038
2000-01-13,1449.6801,5.25,1138.0447,82.668999,17.141182,25.242811
2000-01-14,1465.15,5.25,1159.0021,83.630272,16.717192,24.744236
2000-01-18,1455.14,5.24,1101.2104,80.921211,17.524784,25.039682
2000-01-19,1455.9,5.35,1079.6182,83.542885,17.26232,25.279743
2000-01-20,1445.5699,5.32,1070.4092,83.193336,16.868599,24.725771
2000-01-21,1441.36,5.31,1056.1207,84.941071,16.293205,25.113554
2000-01-24,1401.53,5.32,1031.988,84.941071,16.515293,24.89196
2000-01-25,1410.03,5.4,1045.9596,83.280746,16.192253,24.836567
2000-01-26,1404.09,5.41,1071.9972,81.620346,15.505799,24.67038
2000-01-27,1398.5601,5.42,1069.4574,79.348267,16.131687,23.931728
2000-01-28,1360.16,5.48,1036.4335,77.993713,16.122618,23.3039
2000-01-31,1394.46,5.53,1060.5662,78.474335,16.369389,24.485712
2000-02-01,1409.28,5.54,1040.2441,76.90136,16.389956,24.578049
2000-02-02,1409.12,5.49,1039.6086,79.348267,15.999229,24.762705
2000-02-03,1424.97,5.46,1029.4479,81.882484,16.040359,24.337982
2000-02-04,1424.37,5.5,1023.7319,80.83387,15.814147,23.894802
2000-02-07,1424.24,5.47,991.97858,79.785179,15.773018,23.857874
2000-02-08,1441.72,5.52,974.83142,83.149666,15.834715,23.322371
2000-02-09,1411.71,5.49,988.80322,82.143639,15.526245,22.782309
2000-02-10,1416.83,5.5,958.31995,83.368393,15.464554,22.670267
2000-02-11,1387.12,5.49,963.40045,80.743973,15.176653,22.072701
2000-02-14,1389.9399,5.47,951.96906,81.225105,15.485118,22.838335
2000-02-15,1402.05,5.58,979.91229,81.968704,15.258903,23.69734
2000-02-16,1387.67,5.56,955.14477,81.006409,15.238341,23.902752
2000-02-17,1388.26,5.57,941.17346,81.706268,15.094386,23.267834
2000-02-18,1346.09,5.58,908.78455,78.731926,14.271807,22.408833
2000-02-22,1352.17,5.6,881.47656,77.682159,14.49801,22.539558
2000-02-23,1360.6899,5.64,868.77515,76.107536,14.148417,22.29678
2000-02-24,1353.4301,5.63,844.64252,77.332237,13.983903,21.755238
2000-02-25,1333.36,5.62,849.72327,75.582657,14.127854,21.232368
2000-02-28,1348.05,5.63,885.92206,73.133224,14.045593,21.960663
2000-02-29,1366.42,5.62,898.62329,71.90847,13.696002,22.502203
2000-03-01,1379.1899,5.6,910.0932,70.158905,13.685698,22.726284
2000-03-02,1381.76,5.6,884.05444,72.170959,13.613737,23.006397
2000-03-03,1409.17,5.63,887.86456,75.582657,14.045593,22.614241
2000-03-06,1391.28,5.66,861.1908,72.12719,13.798822,21.792589
2000-03-07,1355.62,5.67,827.53082,72.08345,13.531486,23.902752
2000-03-08,1366.7,5.67,843.4079,74.357956,14.004468,23.790709
2000-03-09,1401.6899,5.66,842.77283,75.582657,13.696002,24.033468
2000-03-10,1395.0699,5.7,843.4079,73.658066,13.510921,23.01572
2000-03-13,1383.62,5.71,876.43311,75.363968,14.004468,22.670267
2000-03-14,1359.15,5.71,871.35254,76.020073,13.490352,23.081097
2000-03-15,1392.14,5.69,929.14612,74.882813,14.49801,23.230488
2000-03-16,1458.47,5.7,1015.5193,76.282494,14.415761,23.828058
2000-03-17,1464.47,5.72,989.4801,76.982338,14.683104,23.043747
2000-03-20,1456.63,5.74,1005.9929,78.906891,14.395194,22.371485
2000-03-21,1493.87,5.74,1021.2352,79.431786,15.073825,23.006397
2000-03-22,1500.64,5.74,1011.0736,79.95668,14.477448,22.390152
2000-03-23,1527.35,5.73,1059.9762,80.656509,14.64197,22.558228
2000-03-24,1527.46,5.74,1093.6362,84.418137,14.683104,23.081097
2000-03-27,1523.86,5.69,1058.0709,88.79213,14.539143,22.861671
2000-03-28,1507.73,5.72,1059.9762,85.730354,14.64197,23.603958
2000-03-29,1508.52,5.73,1081.569,83.280907,14.744788,24.052143
2000-03-30,1487.92,5.71,1104.4327,85.905266,15.341167,23.491934
2000-03-31,1498.58,5.72,1112.6886,82.843506,15.114957,23.305185
2000-04-03,1505.97,5.69,1195.2516,85.380379,15.464554,24.052143
